,ONDAS,El Sol,España
Nacionalidad,632,17.0,79.0
Otros,2102,38.0,377.0
Género musical,1091,18.0,83.0
Carácter social,373,2.0,34.0
Novedad/Modernidad,322,7.0,59.0
Tecnología/Radio,38,0.0,0.0
Valoración negativa,10,1.0,0.0
Valoración estética,201,4.0,25.0
Diversidad cultural,79,1.0,12.0
Complejidad,84,0.0,11.0
Cualidades expresivas,100,1.0,13.0
