Adjetivo,Freq_Dependencia,Freq_Ventana,Diferencia_Abs,Ratio_Ventana/Dependencia,Porcentaje_Dependencia,Porcentaje_Ventana
cálido,8,8,0,1.00,0.19,0.08
infantil,6,10,4,1.67,0.14,0.11
genial,0,16,16,inf,0.00,0.17
lejano,4,12,8,3.00,0.10,0.13
lindo,5,11,6,2.20,0.12,0.12
cubano,7,9,2,1.29,0.17,0.10
gallego,7,8,1,1.14,0.17,0.08
árabe,6,9,3,1.50,0.14,0.10
malo,7,8,1,1.14,0.17,0.08
intenso,3,12,9,4.00,0.07,0.13
celestial,6,9,3,1.50,0.14,0.10
trazado,0,15,15,inf,0.00,0.16
limpio,6,9,3,1.50,0.14,0.10
posible,2,13,11,6.50,0.05,0.14
castizo,6,9,3,1.50,0.14,0.10
distinguido,6,8,2,1.33,0.14,0.08
digno,4,10,6,2.50,0.10,0.11
argentino,6,8,2,1.33,0.14,0.08
difícil,1,13,12,13.00,0.02,0.14
maravilloso,3,11,8,3.67,0.07,0.12
asturiano,7,7,0,1.00,0.17,0.07
representativo,1,13,12,13.00,0.02,0.14
hermoso,0,13,13,inf,0.00,0.14
grata,4,9,5,2.25,0.10,0.10
húngaro,6,7,1,1.17,0.14,0.07
reciente,1,12,11,12.00,0.02,0.13
ilustre,0,13,13,inf,0.00,0.14
radiogénico,6,7,1,1.17,0.14,0.07
publicado,5,8,3,1.60,0.12,0.08
tocado,6,7,1,1.17,0.14,0.07
abundante,5,8,3,1.60,0.12,0.08
posterior,5,8,3,1.60,0.12,0.08
elevado,1,12,11,12.00,0.02,0.13
bailabl,6,7,1,1.17,0.14,0.07
espléndido,2,11,9,5.50,0.05,0.12
cómico,1,11,10,11.00,0.02,0.12
eléctrico,5,7,2,1.40,0.12,0.07
brillante,3,9,6,3.00,0.07,0.10
artístico,1,11,10,11.00,0.02,0.12
precioso,2,10,8,5.00,0.05,0.11
valenciano,2,10,8,5.00,0.05,0.11
sutil,1,11,10,11.00,0.02,0.12
aplicado,4,8,4,2.00,0.10,0.08
junto,0,12,12,inf,0.00,0.13
delicioso,0,12,12,inf,0.00,0.13
ultramoderno,6,6,0,1.00,0.14,0.06
primitivo,4,8,4,2.00,0.10,0.08
literario,2,10,8,5.00,0.05,0.11
internacional,4,8,4,2.00,0.10,0.08
sagrado,5,7,2,1.40,0.12,0.07
culto,6,6,0,1.00,0.14,0.06
absoluto,4,7,3,1.75,0.10,0.07
exquisito,2,9,7,4.50,0.05,0.10
bizantín,5,6,1,1.20,0.12,0.06
superior,3,8,5,2.67,0.07,0.08
sentimental,1,10,9,10.00,0.02,0.11
cantado,3,8,5,2.67,0.07,0.08
escandinavo,5,6,1,1.20,0.12,0.06
feliz,3,8,5,2.67,0.07,0.08
portugués,4,7,3,1.75,0.10,0.07
ficto,5,6,1,1.20,0.12,0.06
sentido,3,8,5,2.67,0.07,0.08
solo,0,11,11,inf,0.00,0.12
sonoro,1,10,9,10.00,0.02,0.11
hondo,2,9,7,4.50,0.05,0.10
eminent,0,10,10,inf,0.00,0.11
falso,4,6,2,1.50,0.10,0.06
construido,4,6,2,1.50,0.10,0.06
sugestivo,1,9,8,9.00,0.02,0.10
incidental,4,6,2,1.50,0.10,0.06
poemático,5,5,0,1.00,0.12,0.05
análogo,0,10,10,inf,0.00,0.11
raro,0,10,10,inf,0.00,0.11
medieval,5,5,0,1.00,0.12,0.05
sensible,2,8,6,4.00,0.05,0.08
sano,4,6,2,1.50,0.10,0.06
destinado,2,8,6,4.00,0.05,0.08
cierto,0,10,10,inf,0.00,0.11
atractivo,2,8,6,4.00,0.05,0.08
florentino,5,5,0,1.00,0.12,0.05
acento,0,10,10,inf,0.00,0.11
radiofónico,4,6,2,1.50,0.10,0.06
directo,1,9,8,9.00,0.02,0.10
organizado,1,9,8,9.00,0.02,0.10
bohemio,5,5,0,1.00,0.12,0.05
olvidado,2,8,6,4.00,0.05,0.08
vienés,0,10,10,inf,0.00,0.11
impresionista,4,6,2,1.50,0.10,0.06
trabajado,1,9,8,9.00,0.02,0.10
expresivo,2,8,6,4.00,0.05,0.08
severo,2,7,5,3.50,0.05,0.07
encantado,4,5,1,1.25,0.10,0.05
encomendado,3,6,3,2.00,0.07,0.06
perfumado,0,9,9,inf,0.00,0.10
nostálgico,6,3,-3,0.50,0.14,0.03
